from,to,frequency
NoticeboardX,NoticeboardX,4457040
NoticeboardX,Shared Resources,1999871
Shared Resources,NoticeboardX,1957425
Question and Answer,NoticeboardX,1348435
NoticeboardX,Question and Answer,1340346
MCQ,NoticeboardX,1002057
Shared Resources,Shared Resources,1001210
NoticeboardX,MCQ,995691
Chat,NoticeboardX,724457
NoticeboardX,Chat,717928
Question and Answer,Shared Resources,629736
Shared Resources,Question and Answer,628909
Forum,NoticeboardX,622596
NoticeboardX,Forum,613749
NoticeboardX,Notebook,496723
Notebook,NoticeboardX,494841
Voting,NoticeboardX,462804
Submit File,NoticeboardX,462151
Mindmap,NoticeboardX,455857
Question and Answer,Question and Answer,455811
NoticeboardX,Voting,453675
NoticeboardX,Mindmap,450749
Shared Resources,MCQ,446574
MCQ,Shared Resources,444513
NoticeboardX,Submit File,444406
Assessment,NoticeboardX,412780
NoticeboardX,Assessment,411739
Shared Resources,Chat,324272
Chat,Shared Resources,315575
MCQ,Question and Answer,315485
Question and Answer,MCQ,312124
Shared Resources,Forum,308530
Forum,Shared Resources,293985
NoticeboardX,Survey,227800
MCQ,MCQ,227269
Survey,NoticeboardX,226172
ImageGallery,NoticeboardX,220226
Shared Resources,Submit File,218966
Voting,Shared Resources,218776
Mindmap,Shared Resources,213054
NoticeboardX,ImageGallery,211881
Shared Resources,Voting,209991
Shared Resources,Notebook,209554
Submit File,Shared Resources,209549
Question and Answer,Chat,207610
Chat,Question and Answer,206781
Notebook,Shared Resources,203401
Shared Resources,Mindmap,198667
Question and Answer,Forum,195563
Shared Resources,Assessment,195482
Forum,Question and Answer,195261
Assessment,Shared Resources,190979
Scribe,NoticeboardX,177795
NoticeboardX,Scribe,164850
Chat,Chat,163210
MCQ,Chat,162878
Chat,MCQ,159264
Notebook,Question and Answer,151788
Question and Answer,Voting,150874
Voting,Question and Answer,150527
Question and Answer,Mindmap,147420
Mindmap,Question and Answer,145604
Question and Answer,Notebook,145179
Question and Answer,Submit File,140257
MCQ,Forum,139724
Shared TaskList,NoticeboardX,139112
Submit File,Question and Answer,136423
Forum,MCQ,136050
NoticeboardX,Shared TaskList,134478
Assessment,Question and Answer,126720
Forum,Forum,124725
Question and Answer,Assessment,122770
Wiki,NoticeboardX,119835
Shared Resources,Survey,116287
NoticeboardX,Wiki,115543
MCQ,Notebook,115110
MCQ,Voting,113350
MCQ,Mindmap,112101
Forum,Chat,110181
Survey,Shared Resources,109937
Voting,MCQ,108320
Chat,Forum,107637
Notebook,MCQ,104768
Mindmap,MCQ,104710
Shared Resources,ImageGallery,102757
MCQ,Assessment,99806
ImageGallery,Shared Resources,97542
Assessment,MCQ,93431
MCQ,Submit File,93010
Submit File,MCQ,91501
Chat,Notebook,90850
Notebook,Chat,88865
NoticeboardX,Pixlr,84353
Pixlr,NoticeboardX,83583
Chat,Mindmap,82945
Voting,Chat,80021
Mindmap,Chat,79128
Notebook,Notebook,77697
Data Collection,NoticeboardX,77316
Question and Answer,Survey,77295
Survey,Question and Answer,76760
Shared Resources,Scribe,76744
NoticeboardX,Data Collection,76707
Forum,Notebook,76194
Scribe,Shared Resources,74300
Submit File,Forum,72589
Chat,Voting,72486
Notebook,Forum,71647
Chat,Submit File,70358
Forum,Submit File,69880
Forum,Mindmap,69137
Submit File,Chat,68905
ImageGallery,Question and Answer,68321
Voting,Voting,67662
Voting,Forum,67529
Submit File,Submit File,67349
Forum,Voting,67340
Mindmap,Forum,66227
Chat,Assessment,65516
Assessment,Chat,65075
Mindmap,Notebook,64800
NoticeboardX,Gmap,64644
Question and Answer,ImageGallery,64000
Gmap,NoticeboardX,60719
Shared TaskList,Shared Resources,60690
Voting,Notebook,60055
Forum,Assessment,59093
Shared Resources,Shared TaskList,58512
Notebook,Submit File,57681
Assessment,Forum,57178
MCQ,ImageGallery,56677
Notebook,Mindmap,55267
MCQ,Survey,54308
Mindmap,Mindmap,54283
Submit File,Voting,54053
Scribe,Question and Answer,53056
Question and Answer,Scribe,52020
Notebook,Voting,51383
Survey,MCQ,51343
ImageGallery,MCQ,50339
Wiki,Shared Resources,49973
Voting,Mindmap,49781
Voting,Submit File,49589
Submit File,Mindmap,47685
Question and Answer,Shared TaskList,46522
VideoRecorder,NoticeboardX,46339
Shared Resources,Wiki,46261
Assessment,Voting,45890
Voting,Assessment,45695
Assessment,Assessment,45690
Mindmap,Assessment,45622
Mindmap,Voting,45530
NoticeboardX,VideoRecorder,45230
Notebook,Assessment,45222
Assessment,Submit File,44868
Chat,Scribe,44478
Mindmap,Submit File,43950
